model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
ridge,8.317940006894162,0.0771028885377989,10.374531291830257,0.18714993439850502,0.5756646148881919,0.02873626893651121,8.898276954274523,11.194235605990391,0.5799561422765538
random_forest,4.466975452989123,0.12076159883225435,5.899161383417027,0.14829084568030515,0.8615273618862043,0.02118388111860997,3.461720531543241,5.119678076395882,0.9121400283237722
svr,6.095206611850953,0.24766140895508348,8.193271834461234,0.3723579922927063,0.7363858572205917,0.003413835149127298,5.452160496286017,7.692283277876737,0.8016572682512662
xgboost,3.9111836885491593,0.06383490699799887,5.4308486390930195,0.07249739273228073,0.8829781012503877,0.015197569188843463,2.458917261788031,4.069212252975246,0.9444957244012825
